filename,doc_type,h_level,changes,year
A Systematic Review and Meta-Analysis Comparin.json,rct,H2,noop,2018.0
Aldaghlawi-2020-A Systematic Review of Digital.json,rct,H2,noop,2020.0
Complications and discomfort of bronchoscopy a systematic review.json,rct,H2,noop,2016.0
Comprehensive Review of Chest Tube Management_A Review.json,rct,H2,noop,2022.0
Cone beam CT imaging for bronchoscopy a technical review.json,rct,H2,noop,2020.0
Evaluating the Patient With a Pulmonary Nodule_A Review.json,rct,H2,noop,2022.0
Ghattas-2021-State of the art_ percutaneous tr.json,rct,H2,noop,2021.0
IPC review.json,rct,H2,noop,2021.0
Pleural Cryobiopsy A Systematic Review and Met.json,rct,H2,noop,2020.0
Sensitivity and safety of ENB systematic review and meta-analysis.json,rct,H2,noop,2020.0
State of the Art IP.json,rct,H2,noop,2020.0
State-of-the-Art Modalities for Peripheral Lung Nodule Biopsy.json,rct,H2,noop,2018.0
The Evolutional History of ENB State of the Art.json,rct,H2,noop,2018.0
fistula Lazarus-2017-Persistent air leaks_ a review wi.json,rct,H2,noop,2017.0
nebulized TXA review.json,rct,H2,noop,2025.0
