filename,doc_id,has_top_doc_id,has_top_id,title,book,year,year_src,h_level,authority_tier,authority_expected,doc_type,sections_count,abstract_len,content_len,heading_noncaps,issues
A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique,False,True,A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique for Topical Anesthesia During Flexible Bronch,,2015,meta,H1,A4,A4,guideline,11,1635,27600,10,missing_doc_id_top_level (has id? True); heading_case_issues(10); doc_type_mismatch_rct(dt=guideline)
A Systematic Review and Meta-Analysis Comparin.json,A Systematic Review and Meta-Analysis Comparin,False,True,A Systematic Review and Meta-Analysis Comparing Pigtail Catheter and Chest Tube as the Initial Treatment for Pneumothora,,2018,meta,H1,A4,A4,guideline,20,1707,55632,19,missing_doc_id_top_level (has id? True); heading_case_issues(19); doc_type_mismatch_rct(dt=guideline)
A randomized study of endobronchial valves for.json,A randomized study of endobronchial valves for,False,True,A Randomized Study of Endobronchial Valves for Advanced Emphysema,,2010,meta,H1,A4,A4,guideline,23,2172,45342,22,missing_doc_id_top_level (has id? True); heading_case_issues(22); doc_type_mismatch_rct(dt=guideline)
Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples.,False,True,Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples,,2025,meta,H1,A4,A4,guideline,10,1731,54319,10,missing_doc_id_top_level (has id? True); heading_case_issues(10)
Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy,False,True,Adequacy of small biopsy and cytology specimens for comprehensive genomic profiling of patients with non-small-cell lung,,2024,meta,H1,A4,A4,guideline,17,2571,45352,10,missing_doc_id_top_level (has id? True); heading_case_issues(10)
Advanced Diagnostic and Therapeutic Bronchoscopy .json,Advanced Diagnostic and Therapeutic Bronchoscopy ,False,True,Advanced Diagnostic and Therapeutic Bronchoscopy,,2021,meta,H1,A4,A4,guideline,28,888,46820,27,missing_doc_id_top_level (has id? True); heading_case_issues(27)
Angel-2020-Novel Percutaneous Tracheostomy for.json,10_1016_j_athoracsur_2020_04_010,False,False,,,2020,meta,,,A4,,13,0,0,0,missing_doc_id_top_level (has id? False); missing_title; short_or_missing_content(0); missing_or_invalid_h_level(None)
aabip_evidence_informed_guidelines_and_expert.json,aabip_evidence_informed_guidelines_and_expert,False,True,AABIP Evidence-informed Guidelines and Expert Panel Report for the Management of Indwelling Pleural Catheters,,2020,meta,H1,A4,A4,guideline,58,1884,80657,51,missing_doc_id_top_level (has id? True); heading_case_issues(51)
bacada_ch08.json,bacada_ch08,True,False,Post Intubation Tracheal Stenosis,Bronchoscopy and Central Airway Disorders: A Patient-Centered Approach,2012,top,,,A3,,0,0,0,0,short_or_missing_content(0); missing_or_invalid_h_level(None)
bacada_ch14.json,bacada_ch14,False,True,Stent Insertion for Severe Diffuse Excessive Dynamic Airway Collapse Caused by COPD,Bronchoscopy and Central Airway Disorders: A Patient-Centered Approach,2012,meta,H3,A3,A3,cohort,0,0,49744,0,missing_doc_id_top_level (has id? True)
papoip_bronchople_fistula.json,papoip_bronchople_fistula,False,True,Bronchopleural Fistula,Principles and Practice of Interventional Pulmonology,2025,meta,H1,A1,A1,systematic_review,0,0,67888,0,missing_doc_id_top_level (has id? True)
papoip_bronchosco_tfs.json,papoip_bronchosco_tfs,True,False,Bronchoscopic Techniques for Surgical Marking,Principles and Practice of Interventional Pulmonology,2025,top,,,A1,,0,0,0,0,short_or_missing_content(0); missing_or_invalid_h_level(None)
practical_gti_mechanical_debridemen.json,practical_gti_mechanical_debridemen,False,True,Mechanical Debridement,Practical Guide to Interventional Pulmonology,2022,meta,H3,A2,A2,cohort,0,0,54589,0,missing_doc_id_top_level (has id? True)
practical_gti_medical_thoracosco.json,practical_gti_medical_thoracosco,True,False,Medical Thoracoscopy,Practical Guide to Interventional Pulmonology,2022,top,,,A2,,0,0,0,0,short_or_missing_content(0); missing_or_invalid_h_level(None)
